exp.name,ip,input,layout,description
Dux.1,SRR5297327,SRR5297331,PAIRED,TF
Dux.2,SRR5297328,SRR5297331,PAIRED,TF
Dux.3,SRR5297329,SRR5297331,PAIRED,TF
Dux.4,SRR5297330,SRR5297331,PAIRED,TF
CBX7,SRR1699463,SRR1699464,SINGLE,TF
PHF19.1,SRR592590,SRR592592,SINGLE,TF
PHF19.2,SRR592591,SRR592591,SINGLE,TF
AFF4.1,SRR299137,SRR299137,SINGLE,TF
AFF4.2,SRR299132,SRR299132,SINGLE,TF
ARID3A.1,SRR1248091,SRR1248091,SINGLE,TF
ARID3A.2,SRR1248092,SRR1248092,SINGLE,TF
ARID3A.3,SRR1248094,SRR1248094,SINGLE,TF
ASH1L.1,SRR923987,SRR923987,SINGLE,TF
ASH1L.2,SRR923988,SRR923988,SINGLE,TF
ASH2L.1,SRR1270145,SRR1270145,SINGLE,TF
ATF7IP.1,SRR094943,SRR094943,SINGLE,TF
ATRX.1,SRR057567,SRR057567,SINGLE,TF
ATRX.10,SRR1703410,SRR1703410,SINGLE,TF
ATRX.11,SRR1703411,SRR1703411,SINGLE,TF
BCL3.1,SRR2077250,SRR2077250,SINGLE,TF
BIRA.1,SRR398897,SRR398897,SINGLE,TF
BIRA.2,SRR397779,SRR397779,SINGLE,TF
BIRA.3,SRR643525,SRR643525,SINGLE,TF
BMI1.1,SRR2571528,SRR2571528,SINGLE,TF
BRD4.1,SRR500928,SRR500928,SINGLE,TF
C17orf96.1,SRR1657568,SRR1657568,SINGLE,TF
C17orf96.2,SRR1657569,SRR1657569,SINGLE,TF
C17orf96.3,SRR1657570,SRR1657570,SINGLE,TF
CAPG.1,SRR361427,SRR361427,SINGLE,TF
CAPG.2,SRR361426,SRR361426,SINGLE,TF
CBX2.1,SRR1973555,SRR1973555,SINGLE,TF
CBX3.1,SRR707086,SRR707086,SINGLE,TF
CBX5.1,SRR1755952,SRR1755952,SINGLE,TF
CBX7.1,SRR354192,SRR354192,SINGLE,TF
CBX7.2,SRR354193,SRR354193,SINGLE,TF
CBX7.3,SRR620205,SRR620205,SINGLE,TF
CBX8.1,SRR1107827,SRR1107827,SINGLE,TF
CBX8.2,SRR1107828,SRR1107828,SINGLE,TF
CDK7.1,SRR1534839,SRR1534839,SINGLE,TF
CDK8.1,SRR713346,SRR713346,SINGLE,TF
CDK8.2,SRR1534840,SRR1534840,SINGLE,TF
CDK9.1,SRR361466,SRR361466,SINGLE,TF
CDK9.2,SRR713347,SRR713347,SINGLE,TF
CDX2.1,SRR029458,SRR029458,SINGLE,TF
CDX2.2,SRR1068152,SRR1068152,SINGLE,TF
CHD4.1,SRR122471,SRR122471,SINGLE,TF
CHD4.2,SRR122472,SRR122472,SINGLE,TF
CHD4.3,SRR1569084,SRR1569084,SINGLE,TF
CHD7.1,SRR058607,SRR058607,SINGLE,TF
CHRM2.1,SRR617512,SRR617512,SINGLE,TF
CHRM2.2,SRR1174469,SRR1174469,SINGLE,TF
CHRM2.3,SRR1514329,SRR1514329,SINGLE,TF
CREBBP.1,SRR1014797,SRR1014797,SINGLE,TF
CTCF.1,SRR172853,SRR172853,SINGLE,TF
CTCF.10,SRR299032,SRR299032,SINGLE,TF
CTCF.11,SRR299033,SRR299033,SINGLE,TF
CTCFL.1,SRR387390,SRR387390,SINGLE,TF
CTCFL.2,SRR387391,SRR387391,SINGLE,TF
CTNNB1.1,SRR650387,SRR650387,SINGLE,TF
CTNNB1.2,SRR650391,SRR650391,SINGLE,TF
